system:index,EVI_Dynamic,EVI_Fixed1985,FVC_Dynamic,FVC_Fixed1985,NDMI_Dynamic,NDMI_Fixed1985,NDVI_p5_soil,NDVI_p95_veg,actual_imagery_year,region,year,.geo
0,0.1694595571665777,0.1694595571665777,0.24405532046413755,0.24405532046413755,0.15806169792268804,0.15806169792268804,0.17584907882378,0.7382535278556692,1985,BTH,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.1739353157164797,0.1739353157164797,0.30982899407699804,0.30982899407699804,0.17668397535739344,0.17668397535739344,0.14460522793515723,0.7226395092740214,1986,BTH,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.16523276095152545,0.16523276095152545,0.26428169508409083,0.26428169508409083,0.16078669904061857,0.16078669904061857,0.1992119356570748,0.7304373066073745,1987,BTH,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.15571943593785675,0.1568188697265393,0.29010327414802306,0.2932409254183612,0.1643017528130619,0.16204933335413066,0.16023874818517322,0.7147954452854042,1988,BTH,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.1431921391548943,0.14040354097864963,0.2379634778637057,0.23521416137783713,0.17640933452701507,0.1783704298839297,0.1758760142330706,0.6991274073260136,1989,BTH,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.15831833795231937,0.15415553229060103,0.27680952322271457,0.27468110555228725,0.20525689115047743,0.20969398730686378,0.19143224773237955,0.7382261164285884,1990,BTH,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.14167391002156426,0.13377002884964273,0.19847884489134593,0.18641166820370486,0.20610616916679148,0.19787804554977886,0.23056574628201354,0.7459931599946504,1991,BTH,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.15064522824440474,0.14080394529239315,0.26979650419271356,0.2596210808308057,0.17920842680833712,0.18956546702275395,0.12115599211862661,0.6523607500079236,1992,BTH,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.15760110526750654,0.15030605093248245,0.2615030234074034,0.2574093762637474,0.1738607416653004,0.18628288578541483,0.18368153370727852,0.707008405027751,1993,BTH,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.14539409783796595,0.13763854906375472,0.2623126304189515,0.25858091343909817,0.18204364162848402,0.1900954788898099,0.18368636064446933,0.6914064937793838,1994,BTH,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.13291240764773707,0.1275020069604666,0.20106341476023326,0.19482079806637437,0.2052582263459129,0.2105328897423294,0.19933913393316038,0.7382772065230562,1995,BTH,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.12465162162558827,0.12200706997290839,0.1911381718468305,0.18870270055271993,0.2123070678585754,0.21434344212573958,0.1914760004789265,0.6835319501682475,1996,BTH,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.14503114069809342,0.14086980225703985,0.2184249167684427,0.21422632950185408,0.20398611314504833,0.20889459078215575,0.222727583598179,0.7382887058815483,1997,BTH,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.16862780378130857,0.16006156013744322,0.2657597821334648,0.2589460673112984,0.26074858538679,0.2660314495243264,0.2149427075888431,0.7147974214528386,1998,BTH,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
